Division,School,Number_of_Students_Missing_10%_or_More_of_the_Days_Enrolled,Number_of_Students_Enrolled_for_Half_the_Year_or_More,Chronic_Absenteeism_Rate,Dropouts,Students_in_the_Cohort,Cohort_Dropout_Rate,Diplomas,GEDs,Certificates_of_Completion,Still_Enrolled,Graduation_Completion_Index,End_of_Year_Average_Daily_Membership,School_Level_Expenditures_Per_Pupil_Federal,School_Level_Expenditures_Per_Pupil_State,School_Level_Expenditures_Per_Pupil_Subtotal,Division_Level_Expenditures_Per_Pupil_Federal,Division_Level_Expenditures_Per_Pupil_State,Division_Level_Expenditures_Per_Pupil_Subtotal,Total_Per_Pupil_Expenditures,Per_Pupil_Exclusions,Total_Expenditures,Per_Pupil_Federal_Funds,Per_Pupil_State_Funds,Poverty_Level,Percent_of_Inexperienced_Teachers,Percent_of_Out_of_Field_Teachers,Percent_of_Out_of_Field_and_Inexperienced_Teachers,NCES_School_ID,State_School_ID,NCES_District_ID,State_District_ID,Low_Grade*,High_Grade*,County_Name*,Street_Address,City,State,ZIP,Final_Location_,Latitude,Longitude,ZIP_4_digit,Phone,Locale_Code*,Locale*,Charter,Magnet*,Title_I_School*,Title_1_School_Wide*,Students*,Teachers*,Student_Teacher_Ratio*,Free_Lunch*,Reduced_Lunch*,Directly_Certified*,Type,Status,county,CENSUSTRACT_FIPS,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding,CensusTract_population
Augusta County Public Schools,EDWARD G. CLYMORE ELEMENTARY,124.0,728.0,17.03,,,,,,,,,740.31,576.0,6629.0,7205.0,653.0,3214.0,3866.0,11072.0,0.0,8196548.0,1229.0,9843.0,Medium Poverty,7.7,3.8,0.0,510030001080,VA-008-0080842,5100300,VA-008,PK,5,Augusta County,184 Fort Defiance Rd,Fort Defiance,VA,24437,Augusta County 184 Fort Defiance Rd Fort Defiance VA 24437,38.2464934,-78.9764583,,(540)245-5043,41,Rural: Fringe,No,No,Yes,Yes,729,43,16.95,273,55,–,Regular,Open,augusta county,51015,34.69230769,41.46153846,28.61538462,59.23076923,41.84615385,31.0,18.53846154,33.07692308,-0.4827353548,0.09916629262,0.07928199331,0.1259646837,0.03871697134,0.04063829477,0.21061805,0.005641539246,74701
Augusta County Public Schools,FORT DEFIANCE HIGH,110.0,715.0,15.38,4,186,2.15,181,1,1,0,96.8,715.58,184.0,8714.0,8898.0,653.0,3214.0,3866.0,12765.0,0.0,9134047.0,837.0,11928.0,Medium Poverty,5.9,2.9,1.5,510030000124,VA-008-0080670,5100300,VA-008,9,12,Augusta County,195 Fort Defiance Rd,Fort Defiance,VA,24437,Augusta County 195 Fort Defiance Rd Fort Defiance VA 24437,38.247245,-78.973246,,(540)245-5050,41,Rural: Fringe,No,No,No,†,725,57.51,12.61,175,47,–,Regular,Open,augusta county,51015,34.69230769,41.46153846,28.61538462,59.23076923,41.84615385,31.0,18.53846154,33.07692308,-0.4827353548,0.09916629262,0.07928199331,0.1259646837,0.03871697134,0.04063829477,0.21061805,0.005641539246,74701
Augusta County Public Schools,GUY K. STUMP ELEMENTARY,68.0,420.0,16.19,,,,,,,,,427.28,470.0,7003.0,7473.0,653.0,3214.0,3866.0,11339.0,0.0,4845136.0,1123.0,10217.0,Medium Poverty,0.0,0.0,0.0,510030001901,VA-008-0080843,5100300,VA-008,PK,5,Augusta County,115 Draft Ave,Stuarts Draft,VA,24477,Augusta County 115 Draft Ave Stuarts Draft VA 24477,38.0299683,-79.0349385,,(540)337-1549,31,Town: Fringe,No,No,Yes,Yes,429,28.33,15.14,149,27,–,Regular,Open,augusta county,51015,34.69230769,41.46153846,28.61538462,59.23076923,41.84615385,31.0,18.53846154,33.07692308,-0.4827353548,0.09916629262,0.07928199331,0.1259646837,0.03871697134,0.04063829477,0.21061805,0.005641539246,74701
Augusta County Public Schools,NORTH RIVER ELEMENTARY,35.0,225.0,15.56,,,,,,,,,241.45,834.0,8704.0,9538.0,653.0,3214.0,3866.0,13404.0,0.0,3236440.0,1487.0,11918.0,Medium Poverty,0.0,0.0,0.0,510030000127,VA-008-0080040,5100300,VA-008,PK,5,Augusta County,3395 Scenic Hwy,Mount Solon,VA,22843,Augusta County 3395 Scenic Hwy Mount Solon VA 22843,38.3147622,-79.0790693,,(540)350-2463,42,Rural: Distant,No,No,Yes,Yes,238,17.83,13.35,100,19,–,Regular,Open,augusta county,51015,34.69230769,41.46153846,28.61538462,59.23076923,41.84615385,31.0,18.53846154,33.07692308,-0.4827353548,0.09916629262,0.07928199331,0.1259646837,0.03871697134,0.04063829477,0.21061805,0.005641539246,74701
Augusta County Public Schools,RIVERHEADS ELEMENTARY,142.0,701.0,20.26,,,,,,,,,704.01,359.0,6699.0,7058.0,653.0,3214.0,3866.0,10924.0,0.0,7690582.0,1012.0,9913.0,Medium Poverty,10.0,4.0,2.0,510030000128,VA-008-0080740,5100300,VA-008,PK,5,Augusta County,239 Don Hanger Circle,Staunton,VA,24401,Augusta County 239 Don Hanger Circle Staunton VA 24401,38.0364739,-79.1413595,,(540)337-2535,42,Rural: Distant,No,No,Yes,Yes,699,42,16.64,256,62,–,Regular,Open,augusta county,51015,34.69230769,41.46153846,28.61538462,59.23076923,41.84615385,31.0,18.53846154,33.07692308,-0.4827353548,0.09916629262,0.07928199331,0.1259646837,0.03871697134,0.04063829477,0.21061805,0.005641539246,74701
Augusta County Public Schools,RIVERHEADS HIGH,75.0,443.0,16.93,1,115,0.87,113,0,0,1,98.9,452.86,382.0,8501.0,8883.0,653.0,3214.0,3866.0,12749.0,0.0,5773609.0,1035.0,11715.0,Medium Poverty,6.7,2.2,0.0,510030000129,VA-008-0080680,5100300,VA-008,9,12,Augusta County,19 Howardsville Rd,Staunton,VA,24401,Augusta County 19 Howardsville Rd Staunton VA 24401,38.0333271,-79.1400365,,(540)337-1921,42,Rural: Distant,No,No,No,†,477,37.74,12.64,112,29,–,Regular,Open,augusta county,51015,34.69230769,41.46153846,28.61538462,59.23076923,41.84615385,31.0,18.53846154,33.07692308,-0.4827353548,0.09916629262,0.07928199331,0.1259646837,0.03871697134,0.04063829477,0.21061805,0.005641539246,74701
Augusta County Public Schools,S. GORDON STEWART MIDDLE,87.0,502.0,17.33,,,,,,,,,510.78,361.0,7590.0,7951.0,653.0,3214.0,3866.0,11818.0,0.0,6036159.0,1014.0,10804.0,Medium Poverty,8.3,6.3,2.1,510030001830,VA-008-0080090,5100300,VA-008,6,8,Augusta County,118 Fort Defiance Rd,Fort Defiance,VA,24437,Augusta County 118 Fort Defiance Rd Fort Defiance VA 24437,38.2447782,-78.9764912,,(540)245-5046,41,Rural: Fringe,No,No,No,†,510,42.17,12.09,165,46,–,Regular,Open,augusta county,51015,34.69230769,41.46153846,28.61538462,59.23076923,41.84615385,31.0,18.53846154,33.07692308,-0.4827353548,0.09916629262,0.07928199331,0.1259646837,0.03871697134,0.04063829477,0.21061805,0.005641539246,74701
Augusta County Public Schools,STUARTS DRAFT ELEMENTARY,100.0,552.0,18.12,,,,,,,,,562.8,763.0,7313.0,8076.0,653.0,3214.0,3866.0,11942.0,0.0,6720922.0,1416.0,10527.0,Medium Poverty,2.5,0.0,0.0,510030000131,VA-008-0080440,5100300,VA-008,PK,5,Augusta County,63 School Blvd,Stuarts Draft,VA,24477,Augusta County 63 School Blvd Stuarts Draft VA 24477,38.0472111,-79.0080392,,(540)337-2951,31,Town: Fringe,No,No,Yes,Yes,558,36.5,15.29,223,40,–,Regular,Open,augusta county,51015,34.69230769,41.46153846,28.61538462,59.23076923,41.84615385,31.0,18.53846154,33.07692308,-0.4827353548,0.09916629262,0.07928199331,0.1259646837,0.03871697134,0.04063829477,0.21061805,0.005641539246,74701
Augusta County Public Schools,STUARTS DRAFT HIGH,146.0,682.0,21.41,6,177,3.39,167,5,0,0,95.9,689.07,194.0,8480.0,8674.0,653.0,3214.0,3866.0,12541.0,0.0,8641466.0,847.0,11694.0,Medium Poverty,4.9,9.8,0.0,510030000132,VA-008-0080730,5100300,VA-008,9,12,Augusta County,1028 Augusta Farm Rd,Stuarts Draft,VA,24477,Augusta County 1028 Augusta Farm Rd Stuarts Draft VA 24477,38.0466656,-79.0128578,,(540)946-7600,31,Town: Fringe,No,No,No,†,711,53.26,13.35,177,49,–,Regular,Open,augusta county,51015,34.69230769,41.46153846,28.61538462,59.23076923,41.84615385,31.0,18.53846154,33.07692308,-0.4827353548,0.09916629262,0.07928199331,0.1259646837,0.03871697134,0.04063829477,0.21061805,0.005641539246,74701
Augusta County Public Schools,STUARTS DRAFT MIDDLE,95.0,494.0,19.23,,,,,,,,,468.98,231.0,9010.0,9241.0,653.0,3214.0,3866.0,13107.0,0.0,6146928.0,884.0,12224.0,Medium Poverty,2.1,4.3,0.0,510030000130,VA-008-0080060,5100300,VA-008,6,8,Augusta County,1088 Augusta Farm Rd,Stuarts Draft,VA,24477,Augusta County 1088 Augusta Farm Rd Stuarts Draft VA 24477,38.045959,-79.008694,,(540)946-7611,31,Town: Fringe,No,No,No,†,464,38.73,11.98,178,43,–,Regular,Open,augusta county,51015,34.69230769,41.46153846,28.61538462,59.23076923,41.84615385,31.0,18.53846154,33.07692308,-0.4827353548,0.09916629262,0.07928199331,0.1259646837,0.03871697134,0.04063829477,0.21061805,0.005641539246,74701
Augusta County Public Schools,WILSON ELEMENTARY,68.0,622.0,10.93,,,,,,,,,656.79,343.0,6811.0,7154.0,653.0,3214.0,3866.0,11020.0,0.0,7238030.0,996.0,10025.0,Medium Poverty,8.3,2.1,2.1,510030000137,VA-008-0080640,5100300,VA-008,PK,5,Augusta County,127 Woodrow Wilson Ave,Fishersville,VA,22939,Augusta County 127 Woodrow Wilson Ave Fishersville VA 22939,38.123111,-78.987863,,(540)245-5040,41,Rural: Fringe,No,No,Yes,Yes,661,40.33,16.39,205,45,–,Regular,Open,augusta county,51015,34.69230769,41.46153846,28.61538462,59.23076923,41.84615385,31.0,18.53846154,33.07692308,-0.4827353548,0.09916629262,0.07928199331,0.1259646837,0.03871697134,0.04063829477,0.21061805,0.005641539246,74701
Augusta County Public Schools,WILSON MEMORIAL HIGH,126.0,846.0,14.89,10,198,5.05,177,6,0,5,93.4,803.06,306.0,7107.0,7413.0,653.0,3214.0,3866.0,11279.0,0.0,9058111.0,959.0,10321.0,Medium Poverty,7.5,11.9,3.0,510030000138,VA-008-0080720,5100300,VA-008,9,12,Augusta County,189 Hornet Rd,Fishersville,VA,22939,Augusta County 189 Hornet Rd Fishersville VA 22939,38.1214477,-78.9871188,,(540)886-4286,41,Rural: Fringe,No,No,No,†,822,60.25,13.64,205,56,–,Regular,Open,augusta county,51015,34.69230769,41.46153846,28.61538462,59.23076923,41.84615385,31.0,18.53846154,33.07692308,-0.4827353548,0.09916629262,0.07928199331,0.1259646837,0.03871697134,0.04063829477,0.21061805,0.005641539246,74701
Augusta County Public Schools,WILSON MIDDLE,134.0,633.0,21.17,,,,,,,,,634.27,321.0,7308.0,7629.0,653.0,3214.0,3866.0,11495.0,0.0,7291064.0,974.0,10522.0,Medium Poverty,9.1,7.3,5.5,510030002435,VA-008-0080844,5100300,VA-008,6,8,Augusta County,232 Hornet Road,Fishersville,VA,22939,Augusta County 232 Hornet Road Fishersville VA 22939,38.1209752,-78.987812,,(540)245-5185,23,Suburb: Small,No,No,No,†,634,45.85,13.83,209,48,–,Regular,Open,augusta county,51015,34.69230769,41.46153846,28.61538462,59.23076923,41.84615385,31.0,18.53846154,33.07692308,-0.4827353548,0.09916629262,0.07928199331,0.1259646837,0.03871697134,0.04063829477,0.21061805,0.005641539246,74701
Bath County Public Schools,BATH COUNTY HIGH,36.0,187.0,19.25,1,38,2.63,37,0,0,0,97.4,186.33,615.0,13803.0,14417.0,125.0,6566.0,6691.0,21108.0,63512.0,3933079.0,740.0,20369.0,Medium Poverty,7.4,3.7,0.0,510033000139,VA-009-0090140,5100330,VA-009,8,12,Bath County,464 Charger Lane,Hot Springs,VA,24445,Bath County 464 Charger Lane Hot Springs VA 24445,38.0333938,-79.7951766,,(540)839-2431,43,Rural: Remote,No,No,No,†,188,21.63,8.69,65,19,–,Regular,Open,bath county,51017,47.0,51.0,33.0,63.0,32.0,46.0,34.0,67.0,-0.10832996,0.11291821,0.086431228,0.12840237,0.067276888,0.027513757,0.27813905,0.010005003,4393
Bath County Public Schools,MILLBORO ELEMENTARY,18.0,130.0,13.85,,,,,,,,,139.83,1230.0,11105.0,12335.0,125.0,6566.0,6691.0,19026.0,803.0,2660413.0,1355.0,17671.0,High Poverty,22.2,11.1,0.0,510033000140,VA-009-0090120,5100330,VA-009,PK,7,Bath County,411 Church Street,Millboro,VA,24460,Bath County 411 Church Street Millboro VA 24460,37.9775765,-79.6067803,,(540)997-5452,43,Rural: Remote,No,No,Yes,No,141,12.83,10.99,70,20,–,Regular,Open,bath county,51017,47.0,51.0,33.0,63.0,32.0,46.0,34.0,67.0,-0.10832996,0.11291821,0.086431228,0.12840237,0.067276888,0.027513757,0.27813905,0.010005003,4393
Bath County Public Schools,VALLEY ELEMENTARY,31.0,163.0,19.02,,,,,,,,,172.85,1199.0,11525.0,12725.0,125.0,6566.0,6691.0,19415.0,976.0,3355948.0,1324.0,18091.0,High Poverty,13.6,0.0,0.0,510033000141,VA-009-0090150,5100330,VA-009,PK,7,Bath County,98 Panther Drive,Hot Springs,VA,24445,Bath County 98 Panther Drive Hot Springs VA 24445,37.97311,-79.8522801,,(540)839-5395,42,Rural: Distant,No,No,Yes,No,173,15.08,11.47,91,26,–,Regular,Open,bath county,51017,47.0,51.0,33.0,63.0,32.0,46.0,34.0,67.0,-0.10832996,0.11291821,0.086431228,0.12840237,0.067276888,0.027513757,0.27813905,0.010005003,4393
Bedford County Public Schools,BEDFORD ELEMENTARY,78.0,427.0,18.27,,,,,,,,,420.12,1365.0,7447.0,8812.0,28.0,3585.0,3613.0,12425.0,285802.0,5219830.0,1393.0,11032.0,Medium Poverty,13.2,5.3,2.6,510036002141,VA-010-0100480,5100360,VA-010,2,5,Bedford County,806 Tiger Trail Road,Bedford,VA,24523,Bedford County 806 Tiger Trail Road Bedford VA 24523,37.326431,-79.5358434,,(540)586-0275,32,Town: Distant,No,No,Yes,Yes,423,28,15.11,256,24,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,BEDFORD PRIMARY,69.0,243.0,28.4,,,,,,,,,274.83,1462.0,8748.0,10210.0,28.0,3585.0,3613.0,13822.0,195115.0,3798784.0,1490.0,12333.0,High Poverty,19.4,0.0,0.0,510036000144,VA-010-0101200,5100360,VA-010,PK,1,Bedford County,807 College St,Bedford,VA,24523,Bedford County 807 College St Bedford VA 24523,37.3404348,-79.5287369,,(540)586-8339,32,Town: Distant,No,No,Yes,Yes,275,21.5,12.79,272,0,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,BIG ISLAND ELEMENTARY,34.0,146.0,23.29,,,,,,,,,144.26,1256.0,9363.0,10619.0,28.0,3585.0,3613.0,14231.0,118567.0,2052993.0,1284.0,12948.0,Medium Poverty,0.0,0.0,0.0,510036000145,VA-010-0100030,5100360,VA-010,PK,5,Bedford County,1114 Schooldays Rd,Big Island,VA,24526,Bedford County 1114 Schooldays Rd Big Island VA 24526,37.531022,-79.416022,,(434)299-5863,42,Rural: Distant,No,No,Yes,Yes,119,11.5,10.35,64,10,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,BOONSBORO ELEMENTARY,18.0,334.0,5.39,,,,,,,,,344.98,215.0,7087.0,7303.0,28.0,3585.0,3613.0,10915.0,150505.0,3765528.0,243.0,10672.0,Low Poverty,27.6,0.0,0.0,510036000147,VA-010-0100160,5100360,VA-010,PK,5,Bedford County,1234 Eagle Circle,Lynchburg,VA,24503,Bedford County 1234 Eagle Circle Lynchburg VA 24503,37.4527888,-79.2608842,,(434)384-2881,41,Rural: Fringe,No,No,No,†,283,24,11.79,56,21,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,FOREST ELEMENTARY,39.0,355.0,10.99,,,,,,,,,356.16,216.0,6689.0,6905.0,28.0,3585.0,3613.0,10518.0,146794.0,3746013.0,244.0,10274.0,Low Poverty,16.7,4.2,0.0,510036002142,VA-010-0100500,5100360,VA-010,PK,5,Bedford County,One Scholar Lane,Forest,VA,24551,Bedford County One Scholar Lane Forest VA 24551,37.3754108,-79.3070658,,(434)525-2681,22,Suburb: Midsize,No,No,No,†,291,22,13.23,34,13,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,FOREST MIDDLE,77.0,877.0,8.78,,,,,,,,,876.48,293.0,7041.0,7334.0,28.0,3585.0,3613.0,10947.0,358679.0,9594704.0,321.0,10626.0,Low Poverty,7.7,9.2,1.5,510036002174,VA-010-0101211,5100360,VA-010,6,8,Bedford County,100 Ashwood Dr,Forest,VA,24551,Bedford County 100 Ashwood Dr Forest VA 24551,37.3691372,-79.3094968,,(434)525-6630,22,Suburb: Midsize,No,No,No,†,881,57.82,15.24,148,33,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,GOODVIEW ELEMENTARY,102.0,464.0,21.98,,,,,,,,,485.47,981.0,7314.0,8295.0,28.0,3585.0,3613.0,11908.0,232534.0,5781021.0,1009.0,10899.0,Medium Poverty,14.6,0.0,0.0,510036002526,VA-010-0101214,5100360,VA-010,PK,5,Bedford County,1374 Rivermont Academy Rd,Goodview,VA,24095,Bedford County 1374 Rivermont Academy Rd Goodview VA 24095,37.2628099,-79.7807256,,(540)892-5674,41,Rural: Fringe,No,No,Yes,Yes,483,35,13.8,196,53,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,HUDDLESTON ELEMENTARY,45.0,201.0,22.39,,,,,,,,,215.32,1304.0,8108.0,9412.0,28.0,3585.0,3613.0,13025.0,154736.0,2804498.0,1332.0,11693.0,Medium Poverty,4.5,0.0,0.0,510036000149,VA-010-0100980,5100360,VA-010,PK,5,Bedford County,1027 Huddleston Drive,Huddleston,VA,24104,Bedford County 1027 Huddleston Drive Huddleston VA 24104,37.1640762,-79.4712894,,(540)297-5144,42,Rural: Distant,No,No,Yes,Yes,182,17,10.71,126,13,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,JEFFERSON FOREST HIGH,144.0,1296.0,11.11,16,329,4.86,249,7,0,58,89.1,1276.57,346.0,7291.0,7637.0,28.0,3585.0,3613.0,11249.0,586893.0,14360378.0,374.0,10876.0,Low Poverty,9.3,1.2,0.0,510036002175,VA-010-0101212,5100360,VA-010,9,12,Bedford County,1 Cavalier Circle,Forest,VA,24551,Bedford County 1 Cavalier Circle Forest VA 24551,37.3758602,-79.3044782,,(434)525-2674,22,Suburb: Midsize,No,No,No,†,1283,81.67,15.71,180,54,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,LIBERTY HIGH,149.0,716.0,20.81,13,161,8.07,138,4,0,6,89.1,703.41,451.0,8960.0,9411.0,28.0,3585.0,3613.0,13023.0,377864.0,9160775.0,479.0,12545.0,Medium Poverty,21.0,6.5,6.5,510036000151,VA-010-0101180,5100360,VA-010,9,12,Bedford County,100 Liberty Minutemen Dr,Bedford,VA,24523,Bedford County 100 Liberty Minutemen Dr Bedford VA 24523,37.3727475,-79.4971143,,(540)586-2541,41,Rural: Fringe,No,No,No,†,713,62.69,11.37,314,51,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,LIBERTY MIDDLE,81.0,534.0,15.17,,,,,,,,,534.72,617.0,7898.0,8514.0,28.0,3585.0,3613.0,12127.0,286049.0,6484494.0,645.0,11483.0,Medium Poverty,22.0,8.0,4.0,510036000143,VA-010-0100490,5100360,VA-010,6,8,Bedford County,1237 Lacey Putney Way,Bedford,VA,24523,Bedford County 1237 Lacey Putney Way Bedford VA 24523,37.370288,-79.4930394,,(540)586-7735,41,Rural: Fringe,No,No,No,†,541,42.32,12.78,261,40,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,MONETA ELEMENTARY,58.0,212.0,27.36,,,,,,,,,213.61,1153.0,8012.0,9165.0,28.0,3585.0,3613.0,12778.0,162322.0,2729481.0,1181.0,11597.0,Medium Poverty,0.0,0.0,0.0,510036000152,VA-010-0100970,5100360,VA-010,PK,5,Bedford County,12718 Moneta Rd,Moneta,VA,24121,Bedford County 12718 Moneta Rd Moneta VA 24121,37.1909286,-79.6122757,,(540)297-4411,42,Rural: Distant,No,No,Yes,Yes,184,14.5,12.69,102,19,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,MONTVALE ELEMENTARY,41.0,237.0,17.3,,,,,,,,,245.14,1089.0,8371.0,9460.0,28.0,3585.0,3613.0,13073.0,167778.0,3204626.0,1117.0,11956.0,Medium Poverty,9.1,0.0,0.0,510036000153,VA-010-0100180,5100360,VA-010,PK,5,Bedford County,One Little Patriot Dr,Montvale,VA,24122,Bedford County One Little Patriot Dr Montvale VA 24122,37.374786,-79.7084953,,(540)947-2241,41,Rural: Fringe,No,No,Yes,Yes,208,17.5,11.89,133,30,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,NEW LONDON ACADEMY ELEMENTARY,27.0,305.0,8.85,,,,,,,,,318.93,394.0,7917.0,8311.0,28.0,3585.0,3613.0,11924.0,181846.0,3802788.0,422.0,11502.0,Low Poverty,16.0,0.0,0.0,510036002109,VA-010-0100610,5100360,VA-010,PK,5,Bedford County,12400 E Lynchburg-Salem Trnpk,Forest,VA,24551,Bedford County 12400 E Lynchburg-Salem Trnpk Forest VA 24551,37.3068786,-79.3067674,,(434)525-2177,41,Rural: Fringe,No,No,No,†,277,23.5,11.79,41,17,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,OTTER RIVER ELEMENTARY,18.0,188.0,9.57,,,,,,,,,192.82,295.0,8810.0,9105.0,28.0,3585.0,3613.0,12717.0,116193.0,2452136.0,323.0,12395.0,Medium Poverty,15.8,0.0,0.0,510036000155,VA-010-0101170,5100360,VA-010,PK,5,Bedford County,1044 Otter River Dr,Goode,VA,24556,Bedford County 1044 Otter River Dr Goode VA 24556,37.364665,-79.4335119,,(540)586-9210,42,Rural: Distant,No,No,No,†,124,14.5,8.55,76,10,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,STAUNTON RIVER HIGH,169.0,879.0,19.23,13,220,5.91,201,3,0,4,92.8,901.09,474.0,7889.0,8363.0,28.0,3585.0,3613.0,11976.0,474778.0,10791299.0,502.0,11474.0,Medium Poverty,20.0,7.7,3.1,510036000156,VA-010-0101190,5100360,VA-010,9,12,Bedford County,1095 Golden Eagle Dr,Moneta,VA,24121,Bedford County 1095 Golden Eagle Dr Moneta VA 24121,37.2412475,-79.6227949,,(540)297-7151,42,Rural: Distant,No,No,No,†,919,66.67,13.78,384,76,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
Bedford County Public Schools,STAUNTON RIVER MIDDLE,123.0,621.0,19.81,,,,,,,,,595.78,263.0,7310.0,7573.0,28.0,3585.0,3613.0,11186.0,363920.0,6664146.0,291.0,10895.0,Medium Poverty,16.3,10.2,4.1,510036002029,VA-010-0101191,5100360,VA-010,6,8,Bedford County,1293 Golden Eagle Drive,Moneta,VA,24121,Bedford County 1293 Golden Eagle Drive Moneta VA 24121,37.2411214,-79.6265239,,(540)297-4152,42,Rural: Distant,No,No,No,†,597,42.9,13.92,296,62,–,Regular,Open,bedford county,51019,28.29411765,36.94117647,27.58823529,49.52941176,27.47058824,23.82352941,30.35294118,33.35294118,-0.6940758239,0.08924610194,0.07488023344,0.1053790532,0.03902407394,0.02954003016,0.1764412221,0.01207520749,77908
